"MPRGC ID","ARGES ID","Short gene name","% identity","Alignment length","Mismatches","Gap openings","Query start","Query end","Target start","Target end","E-value","Bits"
"MP-RGC.v3.019981793","AMRG.gc.v3.gene_8829","cassette-associated_gene",0.945,681,37,0,1,681,1,681,0,1056
"MP-RGC.v3.044792943","AMRG.gc.v3.gene_7161","orf30",0.944,1593,89,0,19,1611,1,1593,0,2457
"MP-RGC.v3.029909996","AMRG.gc.v3.gene_7378","Tn3-like_element_IS3000_family_transposase",0.942,3018,175,0,3015,1,1,3018,0,4623
"MP-RGC.v3.031076479","AMRG.gc.v3.gene_9526","TniQ",0.936,1176,75,0,1176,1,1,1176,0,1773
"MP-RGC.v3.025793370","AMRG.gc.v3.gene_11296","tniB",0.922,909,71,0,909,1,1,909,0,1317
"MP-RGC.v3.001286401","AMRG.gc.v3.gene_11296","tniB",0.919,909,74,0,909,1,1,909,0,1303
"MP-RGC.v3.050976331","AMRG.gc.v3.gene_4314","penA",0.919,847,69,0,3,849,93,939,0,1214
"MP-RGC.v3.034960443","AMRG.gc.v3.gene_10384","putative_integron_gene_cassette_protein",0.917,303,25,0,1,303,4,306,2.915e-125,432
"MP-RGC.v3.007245944","AMRG.gc.v3.gene_9471","orf",0.914,875,75,0,1,875,1,875,0,1233
"MP-RGC.v3.011999915","AMRG.gc.v3.gene_11595","Mobile_element_protein",0.905,786,75,0,786,1,88,873,0,1078
"MP-RGC.v3.007245945","AMRG.gc.v3.gene_9470","orf",0.905,498,47,0,1,498,1,498,1.681e-200,683
"MP-RGC.v3.005956798","AMRG.gc.v3.gene_11133","tniBdelta3",0.904,851,82,0,851,1,1,851,0,1163
"MP-RGC.v3.001863274","AMRG.gc.v3.gene_8901","IS4_family_transposase",0.903,507,49,0,506,1,1,507,8.273e-201,687
"MP-RGC.v3.005036404","AMRG.gc.v3.gene_11584","orf",0.903,354,34,0,1,354,1,354,5.558e-140,483
"MP-RGC.v3.032464144","AMRG.gc.v3.gene_7184","RepB-IV",0.901,488,48,0,488,1,2,489,1.642e-193,661
"MP-RGC.v3.009445707","AMRG.gc.v3.gene_6102","RPOB",0.9,4089,409,0,1,4089,1,4089,0,5504
